country_chn,cur_chn,cur_eng,symbol,symbol_std,exchange
阿根廷,阿根廷比索,ArgentinePeso,Arg.P.,ARP,1ARP=100centavos（分）
巴拉圭,巴拉圭瓜拉尼,ParaguayanGuarani,Guars.,PYG,1PYG=100centimes（分）
乌拉圭,乌拉圭新比索,NewUruguayanPeso,N.$,UYP,1UYP=100centesimos（分）
澳大利亚,澳大利亚元,AustralianDollar,$A.,AUD,1AUD=100cents（分）
新西兰,新西兰元,NewZealandDollar,$NZ.,NZD,1NZD=100cents（分）
斐济,斐济元,FijiDollar,F.$,FJD,1FJD=100cents（分）
所罗门群岛,所罗门元,SolomonDollar.,SL.$,SBD,1SBD=100cents（分）
中国香港,港元,HongKongDollars,HK$,HKD,1HKD=100cents（分)
中国澳门,澳门元,MacaoPataca,PAT.;P.,MOP,1MOP=100avos（分）
中国,人民币元,RenminbiYuan,RMB￥,CNY,1CNY=10jao（角）1jao=10fen（分）
朝鲜,圆,KoreanWon,,KPW,1KPW=100分
越南,越南盾,VietnameseDong,D.,VND,1VND=10角=100分
日本,日圆,JapaneseYen,￥;J.￥,JPY,1JPY=100sen（钱）
老挝,基普,LaotianKip,K.,LAK,1LAK1LAK=100ats（阿特)
柬埔寨,瑞尔,CamboddianRiel,CR.;JRi.,KHR,1KHR=100sen（仙）
菲律宾,菲律宾比索,PhilippinePeso,Ph.Pes.;Phil.P.,PHP,1PHP=100centavos（分）
马来西亚,林吉特,MalaysianDollar,M.$;Mal.$,MYR,1MYR=100cents（分）
新加坡,新加坡元,SsingaporeDollar,S.$,SGD,1SGD=100cents（分）
泰国,泰铢,ThaiBaht(ThaiTical),BT.;Tc.,THP,1THP=100satang（萨当）
缅甸,缅元,BurmeseKyat,K.,BUK,1BUK=100pyas（分）
斯里兰卡,斯里兰卡卢比,SriLankaRupee,S.Re.复数:S.Rs.,LKR,1LKR=100cents（分）
马尔代夫,马尔代夫卢比,MaldivesRupee,M.R.R;MAL.Rs.,MVR,1MVR=100larees（拉雷）
印度尼西亚,盾,IndonesianRupiah,Rps.,IDR,1IDR=100cents（分）
巴基斯坦,巴基斯坦卢比,PakistanPupee,Pak.Re.;P.Re.复数:P.Rs.,PRK,1PRK=100paisa（派萨）
印度,卢比,IndianRupee,Re.复数:Rs.,INR,1INR=100paise（派士）（单数:paisa）
尼泊尔,尼泊尔卢比,NepaleseRupee,N.Re.复数:N.Rs.,NPR,1NPR=100paise（派司）
阿富汗,阿富汗尼,Afghani,Af.,AFA,1AFA=100puls（普尔）
伊朗,伊朗里亚尔,IranianRial,RI.,IRR,1Irr=100dinars（第纳尔）
伊拉克,伊拉克第纳尔,IraqiDinar,ID,IQD,1IQD=1000fils（费尔）
叙利亚,叙利亚镑,SyrianPound,￡.Syr.;￡.S.,SYP,1SYP=100piastres（皮阿斯特）
黎巴嫩,黎巴嫩镑,LebanesePound,￡L.,LBP,1LBP=100piastres（皮阿斯特）
约旦,约旦第纳尔,JordanianDinar,J.D.;J.Dr.,JOD,"1JOD=1,000fils（费尔）"
沙特阿拉伯,亚尔,SaudiArabianRiyal,S.A.Rls.;S.R.,SAR,1SAR=100qurush（库尔什）1qurush=5halals（哈拉）沙特里
科威特,科威特第纳尔,KuwaitiDinar,K.D.,KWD,"1KWD=1,000fils（费尔）"
巴林,巴林第纳尔,BahrainDinar,BD.,BHD,"1BHD=1,000fils（费尔）"
卡塔尔,卡塔尔里亚尔,QatarRiyal,QR.,QAR,1QAR=100dirhams（迪拉姆）
阿曼,阿曼里亚尔,OmanRiyal,RO.,OMR,"1OMR=1,000baiza（派沙）"
阿拉伯也门,也门里亚尔,YemeniRiyal,YRL.,YER,1YER=100fils（费尔）
民主也门,也门第纳尔,YemeniDinar,YD.,YDD,"1YDD=1,000fils（费尔）"
土耳其,土耳其镑,TurkishPound(TurkishLira),￡T.(TL.),TRL,1TRL=100kurus（库鲁）
塞浦路斯,塞浦路斯镑,CyprusPound,￡C.,CYP,"1CYP=1,000mils（米尔）"
